Nome;Ranking;Incidencia
리연;1025;193
한이;1025;193
승비;1027;192
연이;1027;192
호은;1029;191
하란;1029;191
여민;1029;191
현하;1032;190
예아;1032;190
믿음;1032;190
성하;1032;190
윤나;1036;189
미희;1036;189
시진;1036;189
하울;1036;189
리율;1036;189
비아;1041;188
지형;1041;188
성원;1043;187
다비;1043;187
하을;1045;186
가흔;1045;186
주엘;1045;186
주경;1045;186
은샘;1045;186
화연;1050;185
애나;1050;185
온;1050;185
신우;1053;184
란;1053;184
리은;1053;184
소피아;1056;183
미송;1056;183
윤화;1058;182
현승;1058;182
설빈;1060;181
주비;1060;181
희율;1062;180
별이;1062;180
하주;1062;180
상미;1062;180
하언;1066;179
채운;1066;179
성미;1066;179
해영;1069;178
라경;1069;178
랑;1069;178
요원;1069;178
라영;1069;178
우린;1074;177
유온;1074;177
미성;1074;177
이원;1077;176
혜랑;1077;176
미솔;1079;175
리혜;1079;175
보림;1079;175
우연;1079;175
지니;1083;174
아령;1083;174
동은;1083;174
재민;1083;174
미르;1087;173
노아;1087;173
제은;1087;173
다교;1087;173
효아;1091;172
청아;1091;172
지완;1093;171
경림;1093;171
이경;1093;171
초현;1093;171
선정;1097;170
영경;1097;170
노엘;1099;169
근아;1099;169
근아;1099;169
새은;1102;168
윤민;1102;168
혜란;1102;168
혜교;1102;168
문주;1106;167
루이;1106;167
은소;1106;167
강은;1106;167
기연;1110;166
진선;1110;166
예다;1112;165
희엘;1112;165
효윤;1114;164
해서;1114;164
유슬;1114;164
송;1117;163
채미;1117;163
원정;1117;163
희민;1117;163
정혜;1117;163
해령;1117;163
미란;1117;163
동주;1124;162
지성;1124;162
예라;1124;162
소아;1124;162
경현;1128;161
혜안;1128;161
미리;1128;161
문경;1128;161
윤수;1128;161
송윤;1128;161
예니;1134;160
영빈;1134;160
영;1134;160
단미;1134;160
승이;1138;159
윤별;1138;159
단영;1138;159
주애;1138;159
의정;1142;158
태율;1142;158
예별;1142;158
조아;1142;158
정우;1142;158
연오;1147;157
래인;1147;157
경화;1147;157
엘;1150;156
재현;1150;156
찬비;1150;156
슬빈;1150;156
엘라;1150;156
현유;1150;156
해밀;1150;156
원경;1157;155
리호;1158;154
인희;1158;154
자민;1160;153
현빈;1160;153
다울;1162;152
선재;1162;152
주;1162;152
리;1162;152
다임;1166;151
민수;1166;151
은새;1166;151
영진;1166;151
시예;1170;150
인선;1170;150
초롱;1170;150
보담;1170;150
이영;1170;150
원지;1175;149
라빈;1176;148
차윤;1176;148
미령;1176;148
주향;1176;148
라나;1180;147
수혜;1180;147
해든;1180;147
송주;1180;147
경주;1180;147
이령;1185;146
채나;1185;146
마음;1187;145
정효;1187;145
차은;1187;145
민승;1187;145
솔하;1187;145
아희;1192;144
태라;1192;144
선예;1192;144
송민;1192;144
태미;1192;144
아임;1192;144
현솔;1198;143
화정;1199;142
다린;1199;142
명은;1199;142
하희;1199;142
화정;1199;142
가혜;1199;142
명희;1199;142
예란;1206;141
영희;1206;141
희현;1206;141
소휘;1206;141
나언;1206;141
휘서;1206;141
보예;1212;140
수이;1212;140
신유;1212;140
성혜;1215;139
인지;1215;139
이빈;1217;138
선진;1217;138
태령;1217;138
해정;1217;138
에린;1221;137
다니;1221;137
서호;1221;137
하서;1224;136
유람;1224;136
한음;1224;136
윤소;1224;136
영화;1228;135
현송;1228;135
신애;1228;135
푸른;1228;135
수원;1232;134
소언;1232;134
혜현;1234;133
라헬;1234;133
태유;1236;132
나운;1236;132
경연;1238;131
라이;1238;131
예강;1238;131
인화;1238;131
화진;1238;131
유송;1238;131
한설;1238;131
나우;1238;131
클로이;1246;130
영원;1246;130
영민;1246;130
혜아;1249;129
호경;1250;128
희망;1250;128
희아;1252;127
애진;1252;127
기은;1254;126
유채;1254;126
신아;1254;126
레;1254;126
재하;1254;126
해수;1254;126
엘린;1254;126
희라;1254;126
성령;1262;125
규진;1262;125
인주;1264;124
문영;1264;124
주민;1264;124
열음;1264;124
미혜;1264;124
미화;1269;123
가이;1269;123
채진;1271;122
보희;1272;121
효령;1272;121
은해;1272;121
라혜;1272;121
나형;1272;121
교빈;1277;120
아리아;1277;120
가비;1279;119
다언;1279;119
그림;1279;119
민이;1279;119
유엘;1279;119
향기;1284;118
로미;1284;118
은겸;1284;118
현화;1284;118
이봄;1284;118
새하;1284;118
태양;1284;118
민제;1284;118
다봄;1284;118
혜라;1293;117
남주;1293;117
승채;1293;117
여린;1293;117
우현;1293;117
인우;1293;117
재빈;1293;117
별아;1300;116
별아;1300;116
리애;1300;116
효나;1300;116
